35.543,35.996,9.126,9.153,12.045,8.913,18.352,8.199,16.258,7.387
8.988,18.856,15.969,6.339,11.577,28.752,14.915,27.506,18.284,8.69
24.099,8.799,17.438,56.986,24.243,26.365,13.256,8.744,24.543,9.82
12.574,8.087,9.536,13.779,6.6,8.423,22.135,17.773,10.554,7.404
14.254,11.528,42.809,17.655,38.55,8.627,19.826,11.153,16.899,44.828
36.518,17.255,28.838,11.035,60.606,14.775,20.233,11.368,9.693,45.943
12.159,26.598,8.034,8.884,14.709,20.318,14.523,10.862,23.351,11.665
38.01,14.832,18.475,8.042,23.092,11.98,16.697,6.586,29.022,34.967
26.869,11.053,6.968,16.712,7.857,25.857,12.069,7.096,8.873,11.214
14.762,27.066,14.325,35.199,31.088,28.807,7.955,6.899,8.934,8.02
